date,open,high,low,close,volume
2023-01-01,16500.00,16700.00,16400.00,16600.00,1200000000
2023-01-02,16600.00,16800.00,16500.00,16700.00,1250000000
2023-01-03,16700.00,16900.00,16600.00,16800.00,1300000000
2023-01-04,16800.00,17000.00,16700.00,16900.00,1350000000
2023-01-05,16900.00,17100.00,16800.00,17000.00,1400000000
2023-01-06,17000.00,17200.00,16900.00,17100.00,1450000000
2023-01-07,17100.00,17300.00,17000.00,17200.00,1500000000
2023-01-08,17200.00,17400.00,17100.00,17300.00,1550000000
2023-01-09,17300.00,17500.00,17200.00,17400.00,1600000000
2023-01-10,17400.00,17600.00,17300.00,17500.00,1650000000
