date,open,high,low,close,volume
2023-01-01,1200.00,1220.00,1180.00,1210.00,500000000
2023-01-02,1210.00,1230.00,1190.00,1220.00,520000000
2023-01-03,1220.00,1240.00,1200.00,1230.00,540000000
2023-01-04,1230.00,1250.00,1210.00,1240.00,560000000
2023-01-05,1240.00,1260.00,1220.00,1250.00,580000000
2023-01-06,1250.00,1270.00,1230.00,1260.00,600000000
2023-01-07,1260.00,1280.00,1240.00,1270.00,620000000
2023-01-08,1270.00,1290.00,1250.00,1280.00,640000000
2023-01-09,1280.00,1300.00,1260.00,1290.00,660000000
2023-01-10,1290.00,1310.00,1270.00,1300.00,680000000
